Veiculo_Soudview,Veiculos Boxnet 
105FMSãoPaulo,"RÁDIO 105,1 FM/JUNDIAÍ"
89FMSãoPaulo,89 FM A RÁDIO ROCK/SÃO PAULO
9deJulho1600AM,RÁDIO 9 DE JULHO 1600 AM/SÃO PAULO
AdoreFM,RÁDIO ADORE FM 
AguiaDouradaFMSãoPaulo,"RÁDIO AGUIA DOURADA FM 87,5 FM/SÃO PAULO"
AlphaFMSãoPaulo,"RÁDIO ALPHA FM 101,7/SÃO PAULO"
"AlvoradaFM87,5",
AméricaAM,
Antena1FM,"RÁDIO ANTENA 1 FM 94,7/SÃO PAULO"
"BandFM96,1","RÁDIO BAND FM 96,1/SÃO PAULO"
BandNewsFM,"RÁDIO BANDNEWS FM 96,9/SÃO PAULO"
BandeirantesAM,RÁDIO BANDEIRANTES 840 AM/SÃO PAULO
BoaVontade1230AM,
CBNFM,"RÁDIO CBN FM 90,5/SÃO PAULO"
CaminhoparaaVidaFM,
CapitalAM,
CasaVerdeFM,
"ConexãoFM87,5",
DalilaFMSãoPaulo,
DisneyFMSãoPaulo,"RÁDIO DISNEY 91,3 FM/SÃO PAULO"
EldoradoAM,"RÁDIO ELDORADO 107,3 FM/SÃO PAULO"
Energia97FMSãoPaulo,"RÁDIO ENERGIA 97,7 FM/SÃO PAULO"
EstradaFM,
EverestFM,
GazetaFMSãoPaulo,"RÁDIO GAZETA FM 88,1/SÃO PAULO"
GospelFMSãoPaulo,
IntegraçãoFMSãoPaulo,
ItaqueraFM,
JovemPanAM,
JovemPanFM,"RÁDIO JOVEM PAN FM 100,9/SÃO PAULO"
KissFMSãoPaulo,"RÁDIO KISS FM 102,1/SÃO PAULO"
LibertaçãoFM,
"Massa92,9FM","RÁDIO MASSA 92,9 FM/SÃO PAULO"
Metropolitana98.5FM,"RÁDIO 98,5 FM METROPOLITANA/ SÃO PAULO"
MixFMSãoPaulo,
MundialFM,
NativaFMSãoPaulo,"RÁDIO NATIVA 95,3 FM/SÃO PAULO"
NovaBrasilFM,"RÁDIO NOVA BRASIL FM 89,7/SÃO PAULO"
OndaFM,
PazFM,
PlenoFM,
SoulVidaFM,
StarSulFM,
Superrádio1150AM,SUPER RÁDIO 1150 AM/SÃO PAULO
SãoPauloAM,
TerraAM,"RÁDIO TERRA 98,9 FM/SÃO PAULO"
TopFM,"RÁDIO TOP FM 104,1/SÃO PAULO"
TransaméricaFM,"RÁDIO TRANSAMÉRICA FM 100,1/SÃO PAULO"
TranscontinentalFM,"RÁDIO TRANSCONTINENTAL 104,7 FM/MOGI DAS CRUZES"
TropicalFMSãoPaulo,"RÁDIO TROPICAL 107,9 FM/SÃO PAULO"
TucuruviFM,
VilaAlpinaFM,
